DATE,ITACPIALLMINMEI
1981-02-01,23.0261881879631
1981-03-01,23.3575002482216
1981-04-01,23.6681053047139
1981-05-01,24.0408313725047
1981-06-01,24.3100224214647
1981-07-01,24.4549714478278
1981-08-01,24.6827484892554
1981-09-01,25.0347675532801
1981-10-01,25.4696146323693
1981-11-01,25.9251687152247
1981-12-01,26.1943597641847
1982-01-01,26.5670858319754
1982-02-01,26.9605189035324
1982-03-01,27.1882959449601
1982-04-01,27.4160729863878
1982-05-01,27.7266780428801
1982-06-01,28.0165760956062
1982-07-01,28.3685951596308
1982-08-01,28.8862702537847
1982-09-01,29.3211173328739
1982-10-01,29.8180854232616
1982-11-01,30.2322254985847
1982-12-01,30.5014165475447
1983-01-01,30.8741426153355
1983-02-01,31.2882826906585
1983-03-01,31.5781807433847
1983-04-01,31.9094928036432
1983-05-01,32.1786838526032
1983-06-01,32.3650468864985
1983-07-01,32.6342379354585
1983-08-01,32.7998939655878
1983-09-01,33.234741044677
1983-10-01,33.7317091350647
1983-11-01,34.1044352028555
1983-12-01,34.2493842292185
1984-01-01,34.6635243045416
1984-02-01,35.0776643798647
1984-03-01,35.3261484250585
1984-04-01,35.5953394740185
1984-05-01,35.8231165154462
1984-06-01,36.0301865531078
1984-07-01,36.1130145681724
1984-08-01,36.2993776020678
1984-09-01,36.5892756547939
1984-10-01,36.9412947188186
1984-11-01,37.2311927715447
1984-12-01,37.4589698129724
1985-01-01,37.8719330402481
1985-02-01,38.3448395922595
1985-03-01,38.6601106269338
1985-04-01,38.9359727822738
1985-05-01,39.2118349376138
1985-06-01,39.4482882136195
1985-07-01,39.5271059722881
1985-08-01,39.6059237309566
1985-09-01,39.8423770069623
1985-10-01,40.2364658003052
1985-11-01,40.5517368349795
1985-12-01,40.7881901109852
1986-01-01,40.9852345076566
1986-02-01,41.1428700249938
1986-03-01,41.3399144216652
1986-04-01,41.4187321803338
1986-05-01,41.6157765770052
1986-06-01,41.6945943356738
1986-07-01,41.6945943356738
1986-08-01,41.8128209736766
1986-09-01,41.9310476116795
1986-10-01,42.1280920083509
1986-11-01,42.3251364050223
1986-12-01,42.4827719223595
1987-01-01,42.7192251983652
1987-02-01,42.9556784743709
1987-03-01,43.0739051123737
1987-04-01,43.2315406297109
1987-05-01,43.4285850263823
1987-06-01,43.5862205437195
1987-07-01,43.665038302388
1987-08-01,43.8226738197252
1987-09-01,44.0985359750652
1987-10-01,44.4532158890737
1987-11-01,44.6108514064109
1987-12-01,44.6896691650794
1988-01-01,44.9261224410851
1988-02-01,45.1231668377566
1988-03-01,45.320211234428
1988-04-01,45.4384378724309
1988-05-01,45.596073389768
1988-06-01,45.7537089071051
1988-07-01,45.8325266657737
1988-08-01,46.0295710624451
1988-09-01,46.2660243384508
1988-10-01,46.5812953731251
1988-11-01,46.8965664077994
1988-12-01,47.0936108044708
1989-01-01,47.4088818391451
1989-02-01,47.802970632488
1989-03-01,48.078832787828
1989-04-01,48.3152860638337
1989-05-01,48.5517393398394
1989-06-01,48.7487837365108
1989-07-01,48.8276014951794
1989-08-01,48.9458281331822
1989-09-01,49.1822814091879
1989-10-01,49.5763702025308
1989-11-01,49.8522323578708
1989-12-01,50.0492767545422
1990-01-01,50.5221833065536
1990-02-01,50.9162720998965
1990-03-01,51.1133164965679
1990-04-01,51.3103608932394
1990-05-01,51.4679964105765
1990-06-01,51.7044496865822
1990-07-01,51.8620852039194
1990-08-01,52.2167651179279
1990-09-01,52.4926272732679
1990-10-01,52.926124945945
1990-11-01,53.2413959806193
1990-12-01,53.3596226186222
1991-01-01,53.6933107362387
1991-02-01,54.1087328695945
1991-03-01,54.4202994696114
1991-04-01,54.6280105362893
1991-05-01,54.8357216029672
1991-06-01,55.0953604363146
1991-07-01,55.3030715029924
1991-08-01,55.4588548030009
1991-09-01,55.7184936363483
1991-10-01,55.9781324696957
1991-11-01,56.341626836382
1991-12-01,56.4974101363904
1992-01-01,56.8609045030768
1992-02-01,57.1724711030936
1992-03-01,57.432109936441
1992-04-01,57.6398210031189
1992-05-01,57.8994598364663
1992-06-01,58.0552431364747
1992-07-01,58.1590986698137
1992-08-01,58.3148819698221
1992-09-01,58.418737503161
1992-10-01,58.6783763365084
1992-11-01,59.0937984698642
1992-12-01,59.2495817698727
1993-01-01,59.5611483698895
1993-02-01,59.7688594365674
1993-03-01,59.9765705032454
1993-04-01,60.2362093365927
1993-05-01,60.4439204032706
1993-06-01,60.807414769957
1993-07-01,61.0151258366349
1993-08-01,61.0670536033044
1993-09-01,61.2228369033128
1993-10-01,61.5344035033296
1993-11-01,61.7421145700076
1993-12-01,61.8459701033465
1994-01-01,62.1575367033634
1994-02-01,62.4171755367107
1994-03-01,62.5729588367192
1994-04-01,62.6768143700581
1994-05-01,63.0403087367445
1994-06-01,63.1441642700834
1994-07-01,63.2999475700918
1994-08-01,63.4038031034308
1994-09-01,63.6115141701087
1994-10-01,63.9230807701256
1994-11-01,64.1827196034729
1994-12-01,64.3385029034814
1995-01-01,64.5981417368288
1995-02-01,65.065491636854
1995-03-01,65.6366970702183
1995-04-01,65.8963359035656
1995-05-01,66.3117580369215
1995-06-01,66.7271801702773
1995-07-01,66.8310357036162
1995-08-01,67.0387467702941
1995-09-01,67.1945300703026
1995-10-01,67.45416890365
1995-11-01,67.8176632703363
1995-12-01,67.9215188036753
1996-01-01,68.2037462155238
1996-02-01,68.4699071763649
1996-03-01,68.736068137206
1996-04-01,69.0022290980471
1996-05-01,69.2683900588881
1996-06-01,69.4014705393086
1996-07-01,69.3349302990984
1996-08-01,69.4014705393086
1996-09-01,69.4680107795189
1996-10-01,69.5345510197292
1996-11-01,69.8007119805703
1996-12-01,69.8672522207805
1997-01-01,70.0668729414113
1997-02-01,70.1334131816216
1997-03-01,70.3330339022524
1997-04-01,70.3995741424627
1997-05-01,70.5991948630935
1997-06-01,70.5991948630935
1997-07-01,70.5991948630935
1997-08-01,70.6657351033037
1997-09-01,70.732275343514
1997-10-01,70.9318960641448
1997-11-01,71.1980570249859
1997-12-01,71.1980570249859
1998-01-01,71.3976777456167
1998-02-01,71.5972984662475
1998-03-01,71.7969191868783
1998-04-01,71.8634594270886
1998-05-01,71.9965399075091
1998-06-01,72.0630801477194
1998-07-01,72.0630801477194
1998-08-01,72.1296203879296
1998-09-01,72.1296203879296
1998-10-01,72.2627008683502
1998-11-01,72.3292411085604
1998-12-01,72.3957813487707
1999-01-01,72.462321588981
1999-02-01,72.5954020694015
1999-03-01,72.728482549822
1999-04-01,72.9281032704528
1999-05-01,73.0611837508734
1999-06-01,73.0611837508734
1999-07-01,73.2608044715041
1999-08-01,73.3273447117144
1999-09-01,73.460425192135
1999-10-01,73.726586152976
1999-11-01,73.8596666333966
1999-12-01,73.9262068736068
2000-01-01,74.0592873540274
2000-02-01,74.3254483148684
2000-03-01,74.5250690354992
2000-04-01,74.5916092757095
2000-05-01,74.8577702365506
2000-06-01,75.0573909571814
2000-07-01,75.1904714376019
2000-08-01,75.2570116778122
2000-09-01,75.3900921582327
2000-10-01,75.6562531190738
2000-11-01,75.8558738397046
2000-12-01,75.9224140799148
2001-01-01,76.2551152809662
2001-02-01,76.5212762418072
2001-03-01,76.5878164820175
2001-04-01,76.9205176830688
2001-05-01,77.1201384036996
2001-06-01,77.3197591243304
2001-07-01,77.3862993645407
2001-08-01,77.3862993645407
2001-09-01,77.3862993645407
2001-10-01,77.5193798449613
2001-11-01,77.6524603253818
2001-12-01,77.719000565592
2002-01-01,78.0517017666434
2002-02-01,78.3178627274845
2002-03-01,78.5174834481152
2002-04-01,78.7171041687461
2002-05-01,78.9167248893769
2002-06-01,78.9832651295871
2002-07-01,79.1163456100077
2002-08-01,79.2494260904282
2002-09-01,79.3825065708488
